Field,Year,Articles,Cross-lists,Total
Physics,2023,14193,2438,16631
Physics,2022,14496,2638,17134
Physics,2021,14464,2650,17114
Physics,2020,14834,2468,17302
Physics,2019,14419,2177,16596
Physics,2018,14081,1889,15970
Physics,2017,13263,1868,15131
Physics,2016,13216,1961,15177
Physics,2015,12898,2056,14954
Physics,2014,12585,1970,14555
Physics,2013,12474,1752,14226
Physics,2012,12122,1726,13848
Physics,2011,11954,1719,13673
Physics,2010,11616,1506,13122
Physics,2009,11287,1196,12483
Physics,2008,10089,1156,11245
Physics,2007,10141,1203,11344
Physics,2006,9271,1101,10372
Physics,2005,8746,1040,9786
Physics,2004,8242,1012,9254
Physics,2003,7899,941,8840
Physics,2002,7027,816,7843
Physics,2001,6806,802,7608
Physics,2000,6341,678,7019
Physics,1999,5638,601,6239
Physics,1998,4745,569,5314
Physics,1997,3576,341,3917
Physics,1996,2418,270,2688
Physics,1995,1659,251,1910
Physics,1994,1029,197,1226
Physics,1993,489,124,613
Physics,1992,59,62,121
Physics,2023,15011,4185,19196
Physics,2022,15514,4188,19702
Physics,2021,16150,4319,20469
Physics,2020,16212,4692,20904
Physics,2019,15228,4285,19513
Physics,2018,14752,3559,18311
Physics,2017,14392,3151,17543
Physics,2016,14615,2977,17592
Physics,2015,13930,2839,16769
Physics,2014,13108,2664,15772
Physics,2013,12746,2636,15382
Physics,2012,12184,2627,14811
Physics,2011,11735,2240,13975
Physics,2010,11189,1903,13092
Physics,2009,10304,1115,11419
Physics,2008,10281,1066,11347
Physics,2007,9415,992,10407
Physics,2006,9243,986,10229
Physics,2005,9234,1024,10258
Physics,2004,8953,876,9829
Physics,2003,8367,737,9104
Physics,2002,7762,629,8391
Physics,2001,7024,604,7628
Physics,2000,6023,562,6585
Physics,1999,5488,519,6007
Physics,1998,4636,481,5117
Physics,1997,3534,343,3877
Physics,1996,2545,411,2956
Physics,1995,1823,377,2200
Physics,1994,1323,218,1541
Physics,1993,687,142,829
Physics,1992,219,64,283
Physics,2023,3534,2410,5944
Physics,2022,3502,2596,6098
Physics,2021,3522,2483,6005
Physics,2020,3358,2447,5805
Physics,2019,3045,2236,5281
Physics,2018,2852,1955,4807
Physics,2017,2659,1932,4591
Physics,2016,2598,1921,4519
Physics,2015,2772,1891,4663
Physics,2014,2445,1924,4369
Physics,2013,2266,1903,4169
Physics,2012,2065,2022,4087
Physics,2011,2119,1993,4112
Physics,2010,2054,1861,3915
Physics,2009,1989,1396,3385
Physics,2008,1877,1170,3047
Physics,2007,1921,1152,3073
Physics,2006,1742,1105,2847
Physics,2005,1662,1021,2683
Physics,2004,1554,1026,2580
Physics,2003,1420,947,2367
Physics,2002,1312,893,2205
Physics,2001,1285,770,2055
Physics,2000,1252,715,1967
Physics,1999,1247,641,1888
Physics,1998,1139,569,1708
Physics,1997,1019,394,1413
Physics,1996,836,379,1215
Physics,1995,738,357,1095
Physics,1994,682,299,981
Physics,1993,421,178,599
Physics,1992,101,63,164
Physics,2023,864,1739,2603
Physics,2022,993,2305,3298
Physics,2021,809,2084,2893
Physics,2020,633,2119,2752
Physics,2019,813,1847,2660
Physics,2018,827,1731,2558
Physics,2017,876,1639,2515
Physics,2016,780,1795,2575
Physics,2015,851,1820,2671
Physics,2014,923,1524,2447
Physics,2013,945,1575,2520
Physics,2012,1098,1638,2736
Physics,2011,1112,1546,2658
Physics,2010,698,1115,1813
Physics,2009,865,649,1514
Physics,2008,919,523,1442
Physics,2007,863,412,1275
Physics,2006,848,387,1235
Physics,2005,854,412,1266
Physics,2004,885,449,1334
Physics,2003,771,404,1175
Physics,2002,798,413,1211
Physics,2001,817,386,1203
Physics,2000,736,343,1079
Physics,1999,667,269,936
Physics,1998,407,231,638
Physics,1997,325,165,490
Physics,1996,166,109,275
Physics,1995,158,44,202
Physics,1994,67,29,96
Physics,2023,428,477,905
Physics,2022,585,565,1150
Physics,2021,667,567,1234
Physics,2020,419,510,929
Physics,2019,476,469,945
Physics,2018,518,420,938
Physics,2017,649,400,1049
Physics,2016,541,428,969
Physics,2015,624,441,1065
Physics,2014,589,382,971
Physics,2013,726,364,1090
Physics,2012,596,409,1005
Physics,2011,592,406,998
Physics,2010,573,376,949
Physics,2009,527,268,795
Physics,2008,509,235,744
Physics,2007,607,213,820
Physics,2006,504,223,727
Physics,2005,663,198,861
Physics,2004,586,201,787
Physics,2003,575,245,820
Physics,2002,583,226,809
Physics,2001,575,219,794
Physics,2000,508,269,777
Physics,1999,588,213,801
Physics,1998,623,245,868
Physics,1997,548,167,715
Physics,1996,558,173,731
Physics,1995,436,153,589
Physics,1994,446,145,591
Physics,1993,374,106,480
Physics,1992,322,61,383
Physics,2023,4433,2128,6561
Physics,2022,5168,2488,7656
Physics,2021,4977,2326,7303
Physics,2020,4597,2341,6938
Physics,2019,4576,2294,6870
